,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Cluster,PCA1,PCA2
38,Sumatera Utara,2003,3403075.0,825188.0,3140.2,72.08,29.59,Rendah,3.0427037610528154,1.5811868915544625
39,Sumatera Utara,2004,3418782.0,826091.0,2406.9,80.79,29.27,Sedang,2.779651915997198,0.5940114080932789
40,Sumatera Utara,2005,3447394.0,822073.0,776.7,83.8,27.0,Sedang,2.495343241374636,-0.46113558427381107
41,Sumatera Utara,2006,3007636.0,705023.0,222.5,81.0,27.8,Sedang,2.244851722429417,0.7016870699577721
42,Sumatera Utara,2007,3265834.0,750232.0,2513.0,82.0,27.0,Sedang,1.9844854519386743,-0.724100641062233
43,Sumatera Utara,2008,3340794.0,748540.0,2442.0,81.4,26.9,Sedang,2.036952262667798,-0.697134553485312
44,Sumatera Utara,2009,3527899.0,768407.0,2184.0,86.0,27.1,Sedang,2.105691831611162,-1.117882193853872
45,Sumatera Utara,2010,3582302.0,754674.0,1903.3,78.55,27.18,Sedang,2.4345869775619375,-0.07689866878818308
46,Sumatera Utara,2011,3607403.0,757547.0,2042.0,79.0,27.2,Sedang,2.4228289809897507,-0.17537162819679158
47,Sumatera Utara,2012,3715514.0,765099.0,3175.0,76.0,27.3,Sedang,2.4640598878584345,-0.16965610538588943
48,Sumatera Utara,2013,3727249.0,742968.0,2627.0,78.67,28.8,Sedang,2.6716767418866243,0.5254073491182867
49,Sumatera Utara,2014,3631039.0,717318.0,2148.0,79.0,27.9,Sedang,2.4345190576263063,0.20047129572328312
50,Sumatera Utara,2015,4044829.0,781769.0,975.9,86.9,27.4,Sedang,2.6469201082586427,-0.7833797942935586
51,Sumatera Utara,2016,4387035.9,423029.0,2384.0,82.0,27.65,Sedang,1.8148033954720162,-0.2875290823947326
52,Sumatera Utara,2017,4669777.5,415675.0,3190.0,84.0,27.5,Sedang,1.7277774104927133,-0.9395150117328118
53,Sumatera Utara,2018,2108284.72,408176.45,2431.0,80.0,26.41,Sedang,0.3079442672254218,-0.21648200772983048
54,Sumatera Utara,2019,2078901.59,413141.24,1401.6,86.53,27.03,Sedang,0.3346143360640325,-0.3211978593997637
55,Sumatera Utara,2020,2076280.01,388591.22,1648.3,83.76,25.79,Sedang,0.09532230661882596,-0.7218938020402466
56,Sumatera Barat,1993,1806424.0,394412.0,5110.0,89.77,24.7,Tinggi,-1.002588376333126,-3.1551122590188845
57,Sumatera Barat,1994,1747543.0,382740.0,4869.5,75.22,24.49,Tinggi,-0.5262722625547325,-1.4018326440124511
58,Sumatera Barat,1995,1829192.0,400627.0,5022.0,87.68,24.82,Tinggi,-0.8570728649406102,-2.8173595010597516
