,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Cluster,PCA1,PCA2
111,Riau,2020,269344.05,64733.13,2584.9,81.8,25.93,Tinggi,-1.9192518315198295,-0.03610546519698245
112,Jambi,1993,607529.0,199431.0,1954.0,83.81,26.29,Tinggi,-1.246358346706959,-0.06504714529293878
113,Jambi,1994,564722.0,184029.0,1824.0,81.25,25.51,Tinggi,-1.3457950224567468,-0.11284113979031435
114,Jambi,1995,593502.0,193666.0,2290.1,83.96,26.22,Tinggi,-1.3414058486349452,-0.22636277372438915
115,Jambi,1996,657650.0,215975.0,2309.1,83.6,26.0,Tinggi,-1.2707058295037714,-0.3429209463533061
116,Jambi,1997,572269.0,190608.0,1030.1,80.64,26.5,Tinggi,-0.9919896703688955,0.7603328914932536
117,Jambi,1998,550277.0,178766.0,2383.8,83.47,26.78,Tinggi,-1.3002301928630646,0.1292825601216136
118,Jambi,1999,553641.0,178307.0,2429.3,83.25,26.34,Tinggi,-1.3809177622199784,-0.09942514835539391
119,Jambi,2000,536779.0,171395.0,840.3,84.85,27.76,Tinggi,-0.9605951876547446,1.0253048034217482
120,Jambi,2001,556564.0,164826.0,2515.2,72.4,28.12,Rendah,-0.6902285175691445,2.167463141540862
121,Jambi,2002,561007.0,165729.0,2044.5,70.77,28.82,Rendah,-0.42035507099570796,2.903098385322754
122,Jambi,2003,578346.0,159463.0,2508.1,71.28,29.39,Rendah,-0.41196676833447016,2.997328823869562
123,Jambi,2004,579404.0,156803.0,2561.0,82.74,28.95,Rendah,-0.9400469524500471,1.3531035408407577
124,Jambi,2005,579635.0,154941.0,1015.7,84.8,26.8,Tinggi,-1.1891043837885673,0.45427492322953206
125,Jambi,2006,544597.0,140613.0,424.7,85.0,26.77,Tinggi,-1.173212642613672,0.6331807455135964
126,Jambi,2007,58663.0,149888.0,2394.0,86.0,26.6,Tinggi,-1.7946841000796419,-0.1439979595125368
127,Jambi,2008,581704.0,143034.0,2230.0,83.7,26.5,Tinggi,-1.42370498675272,0.02518375453454346
128,Jambi,2009,644947.0,155802.0,2299.0,83.8,27.1,Tinggi,-1.2523239778936905,0.29136358156028
129,Jambi,2010,628828.0,153897.0,3207.0,84.6,27.1,Tinggi,-1.4363191506605306,-0.1061559133006783
130,Jambi,2011,646641.0,157441.0,2295.0,82.5,26.9,Tinggi,-1.2346974894168123,0.3394793242496396
131,Jambi,2012,625164.0,149369.0,1874.0,81.4,26.7,Tinggi,-1.2020551839038314,0.5175271687176326
132,Jambi,2013,664535.0,153243.0,2093.0,83.42,26.8,Tinggi,-1.2590232866718427,0.24126686767704417
133,Jambi,2014,664720.0,145990.0,1781.0,82.8,27.2,Tinggi,-1.1338158667731788,0.6457535956250549
134,Jambi,2015,541486.0,122214.0,1694.9,82.1,27.0,Tinggi,-1.2711713413877617,0.699004816348314
135,Jambi,2016,642095.0,96588.0,1502.4,83.84,26.84,Tinggi,-1.3540992093778699,0.4660206896432627
136,Jambi,2017,678127.0,97690.0,2193.2,83.69,26.62,Tinggi,-1.4719333755849655,0.12268548098129806
137,Jambi,2018,383045.74,86202.68,2182.3,82.23,26.62,Tinggi,-1.6170177520833655,0.37906125176509153
138,Jambi,2019,309932.68,69536.06,1773.4,81.44,26.94,Tinggi,-1.5547068904436667,0.8178103137114255
139,Jambi,2020,374376.27,84772.93,2303.8,78.24,25.85,Tinggi,-1.6394026844780745,0.4053923482459734
140,Sumatera Selatan,1993,1409559.0,439895.0,2815.0,82.78,26.38,Tinggi,-0.16709660803932264,-0.5715916801668607
141,Sumatera Selatan,1994,1347611.0,422109.0,1800.0,79.89,26.53,Sedang,0.038220393008109164,0.23169186666661176
142,Sumatera Selatan,1995,1557944.0,492448.0,2800.0,82.71,26.54,Sedang,0.10510257060948838,-0.5502290831648692
143,Sumatera Selatan,1996,1666591.0,495958.0,2614.0,82.45,26.34,Sedang,0.17798965729852423,-0.5922894428293278
144,Sumatera Selatan,1997,1577398.0,469670.0,1558.3,78.47,26.75,Sedang,0.43902765063444055,0.5119944559486667
145,Sumatera Selatan,1998,1931505.0,621829.0,2539.3,82.58,26.19,Sedang,0.6730851004760123,-0.8344906988677608
146,Sumatera Selatan,1999,1789961.0,530692.0,2704.7,81.01,25.67,Sedang,0.26366747690030284,-0.8713896221640153
147,Sumatera Selatan,2000,1863643.0,555427.0,2632.5,83.26,25.32,Sedang,0.2384455342720071,-1.3486108644431518
148,Sumatera Selatan,2001,1723433.0,511928.0,2837.5,72.06,28.83,Rendah,1.0798119896610414,1.9213375687352547
149,Sumatera Selatan,2002,1899849.0,561724.0,2368.2,70.36,28.23,Rendah,1.3482507188234159,1.8754223999714676
150,Sumatera Selatan,2003,1977345.0,570010.0,2674.0,69.59,29.64,Rendah,1.6630665438540277,2.6093228574255183
151,Sumatera Selatan,2004,2260794.0,625013.0,2182.6,80.96,28.7,Sedang,1.456499722871449,0.773298283987748
152,Sumatera Selatan,2005,2320110.0,626849.0,1356.9,82.5,27.1,Sedang,1.2642376875846744,-0.021668136856051148
153,Sumatera Selatan,2006,2456251.0,646927.0,1442.0,80.0,27.1,Sedang,1.4809865811176648,0.20465383577453491
154,Sumatera Selatan,2007,2753044.0,691467.0,2364.7,83.5,27.0,Sedang,1.4878890675746645,-0.6900548861667353
155,Sumatera Selatan,2008,2971286.0,718797.0,2685.7,84.8,26.9,Sedang,1.5748899570758212,-1.0828385113363426
156,Sumatera Selatan,2009,3125236.0,746465.0,2389.0,82.3,27.4,Sedang,1.976198290371451,-0.46618424650578777
157,Sumatera Selatan,2010,3272451.0,769478.0,3396.0,85.25,27.08,Sedang,1.8017478056469698,-1.3902319701227543
158,Sumatera Selatan,2011,3384670.0,784820.0,2593.0,84.8,27.3,Sedang,2.0915921621661067,-0.9838679687077505
159,Sumatera Selatan,2012,3295247.0,769725.0,3083.0,83.0,27.4,Sedang,2.0079767455046995,-0.8430949338290845
160,Sumatera Selatan,2013,3676723.0,800036.0,3409.0,84.0,27.3,Sedang,2.207182297049577,-1.2401467599545117
161,Sumatera Selatan,2014,3670435.0,810900.0,1668.3,81.0,26.0,Sedang,2.3708106139728455,-1.006659404328698
162,Sumatera Selatan,2015,4247922.0,872737.0,1947.2,79.5,27.7,Sedang,3.212145960241997,-0.17568083814945326
163,Sumatera Selatan,2016,4881089.0,615184.0,3477.9,82.22,27.31,Sedang,2.4148459287802115,-1.1471590994777072
164,Sumatera Selatan,2017,4807430.0,621903.0,2489.5,81.08,26.75,Sedang,2.4816749947912062,-0.9706997416656375
165,Sumatera Selatan,2018,2994191.84,581574.61,2252.4,77.66,27.0,Sedang,1.5426044970101258,0.09873764525197615
166,Sumatera Selatan,2019,2603396.24,539316.52,1655.5,85.13,27.6,Sedang,1.1207095702725647,-0.15443839471352824
167,Sumatera Selatan,2020,2696877.46,551320.76,2300.2,81.1,26.14,Sedang,0.987390807617716,-0.7099447586139139
168,Bengkulu,1993,356709.0,109807.0,4150.0,85.5,25.95,Tinggi,-2.113679391651148,-1.0599349912369878
169,Bengkulu,1994,334232.0,104747.0,2043.0,85.32,25.68,Tinggi,-1.8619982786273641,-0.46606583722603906
170,Bengkulu,1995,377337.0,115914.0,4478.0,85.49,26.12,Tinggi,-2.102204671236038,-1.086561613606477
171,Bengkulu,1996,396977.0,121929.0,3931.0,85.96,25.66,Tinggi,-2.09361176403034,-1.2195455866946767
